Country,Country_Code,Year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,Region,illiteracy_rate,literacy_rate,gdp_per_capita,world_region,avg_years_schooling,Illiteracy_%,Literacy_Gender_Gap,GDP_per_Schooling_Year,Education_Index,Youth_Literacy_Average,Literacy_Growth_Rate
Armenia,ARM,2023.0,99.84,99.91,99.87,Asia,0.16000366,99.84,19402.752,Asia,3.81328678151149,0.16000366,0.03999999999999204,5088.196380632365,51.82664339075575,99.89,0.020000000000010232
Aruba,ABW,2000.0,97.29,98.88,99.17,North America,2.709999,97.29,37524.035,North America,3.81328678151149,2.709999,0.29000000000000625,9840.33909590362,50.55164339075575,99.025,0.0
Aruba,ABW,2010.0,96.82,98.97,99.32,North America,3.1800003,96.82,33951.625,North America,3.81328678151149,3.1800003,0.3499999999999943,8903.506855191845,50.31664339075574,99.145,-0.4700000000000131
Azerbaijan,AZE,1999.0,98.79,99.87,99.9,Asia,1.2099991,98.79,5133.748,Asia,3.81328678151149,1.2099991,0.030000000000001137,1346.2790223097547,51.30164339075575,99.885,0.0
Azerbaijan,AZE,2006.0,78.6647677888707,100.0,100.0,Asia,21.323384163270195,78.67661578438866,13371.658,Asia,3.81328678151149,21.323384163270195,0.0,3506.5964786157033,41.244951282950076,100.0,-20.113384215611347
Azerbaijan,AZE,2007.0,99.59,99.99,99.99,Asia,0.41000366,99.59,16587.365,Asia,3.81328678151149,0.41000366,0.0,4349.8865808947085,51.70164339075575,99.99,20.913384215611345
Azerbaijan,AZE,2009.0,99.76,99.96,99.95,Asia,0.23999786,99.76,19242.39,Asia,3.81328678151149,0.23999786,0.009999999999990905,5046.142895230347,51.78664339075575,99.955,0.1700000000000017
Azerbaijan,AZE,2010.0,99.77,99.97,99.93,Asia,0.23000336,99.77,19925.39,Asia,3.81328678151149,0.23000336,0.03999999999999204,5225.2534733571965,51.791643390755745,99.95,0.009999999999990905
Azerbaijan,AZE,2011.0,99.78,99.96,99.93,Asia,0.22000122,99.78,19358.078,Asia,3.81328678151149,0.22000122,0.029999999999986926,5076.48102782528,51.79664339075575,99.945,0.010000000000005116
Azerbaijan,AZE,2012.0,99.78,99.95,99.92,Asia,0.22000122,99.78,19523.373,Asia,3.81328678151149,0.22000122,0.030000000000001137,5119.828147900649,51.79664339075575,99.935,0.0
Azerbaijan,AZE,2013.0,99.79,99.98,99.93,Asia,0.20999908,99.79,20398.646,Asia,3.81328678151149,0.20999908,0.04999999999999716,5349.360582818399,51.80164339075575,99.95500000000001,0.010000000000005116
Azerbaijan,AZE,2014.0,99.79,99.98,99.94,Asia,0.20999908,99.79,20709.201,Asia,3.81328678151149,0.20999908,0.04000000000000625,5430.800825263764,51.80164339075575,99.96000000000001,0.0
Azerbaijan,AZE,2015.0,99.79,99.96,99.92,Asia,0.20999908,99.79,20678.754,Asia,3.81328678151149,0.20999908,0.03999999999999204,5422.8163746455675,51.80164339075575,99.94,0.0
Azerbaijan,AZE,2016.0,99.79,99.96,99.92,Asia,0.20999908,99.79,19822.41,Asia,3.81328678151149,0.20999908,0.03999999999999204,5198.2478989274705,51.80164339075575,99.94,0.0
Azerbaijan,AZE,2017.0,99.79,99.96,99.91,Asia,0.20999908,99.79,19659.004,Asia,3.81328678151149,0.20999908,0.04999999999999716,5155.396152032308,51.80164339075575,99.935,0.0
Azerbaijan,AZE,2019.0,99.8,99.96,99.91,Asia,0.19999695,99.8,20101.492,Asia,3.81328678151149,0.19999695,0.04999999999999716,5271.434631526003,51.806643390755745,99.935,0.009999999999990905
Azerbaijan,AZE,2023.0,99.78,99.88,99.88,Asia,0.22000122,99.78,21310.738,Asia,3.81328678151149,0.22000122,0.0,5588.5484677742925,51.79664339075575,99.88,-0.01999999999999602
Bahrain,BHR,1991.0,84.01,97.26,96.58,Asia,15.989998,84.01,47644.023,Asia,3.81328678151149,15.989998,0.6800000000000068,12494.214500467002,43.91164339075575,96.92,0.0
Bahrain,BHR,2001.0,86.55,96.83,97.25,Asia,13.449997,86.55,57280.7,Asia,3.81328678151149,13.449997,0.4200000000000017,15021.345962680358,45.181643390755745,97.03999999999999,2.539999999999992
